Match Index,Query Index,Game,Base Sentence,Similarity Score
386,386,GIRIS CUMLESI,powerups general every piece control even applicable opponents pieces,1.0
388,386,A01752391_Videojuego,powerups affect board exchange pieces disappear pieces etc,0.5078999118587457
30479,386,nadeem-shahzad_TheLastPieceStanding,pieces player controls king rotating cast fallen hero pieces,0.4494897912445815
397,386,A01752391_Videojuego,time piece selected clicked upon squares piece move lighted,0.43017755349461734
30496,386,nadeem-shahzad_TheLastPieceStanding,4. enemy pieces enemy pieces varying movement speeds attack capabilities,0.41493353167344976
37278,386,Ragnaroknfthive_Ragnarok-Card-,fewer pieces,0.4094727157577339
