Match Index,Query Index,Game,Base Sentence,Similarity Score
386,386,GIRIS CUMLESI,powerups general every piece control even applicable opponents pieces,1.0
3417,386,ankeocunghuy_Game-project-LockedOut,adding amount eerieness would lack hands body player control solely relying skill judgement,0.9878145456314087
24796,386,LangzeL_Night-of-Amnesia,outcome player successfully removes doctors mask,0.9861277341842651
10107,386,DraconianBeryl_incursions,leaving dice subtracting either allow players prune harmful dice require special rule remove native dice first,0.9835730791091919
36950,386,quimnuss_eco,theres risk player sticks simple 3fold relationships,0.9834416508674622
24765,386,LangzeL_Night-of-Amnesia,outcome triggers bad ending player caught meets demise hands doctor,0.9822337627410889
